"Carimbo de data/hora","Qual a sua idade?","Qual o tipo da empresa que você trabalha?","Qual o tamanho da sua empresa?","Qual a natureza da sua empresa?","Qual o tipo da solução que sua empresa trabalha?","Confirme que você concorda com os termos e condições acima para a pesquisa.","O framework de decisão arquitetural (FAROL) auxiliou no processo de tomada de decisão.","Decisões arquiteturais significativas (aquelas que tem potencial de inviabilizar o projeto ou torná-lo oneroso demais) foram observadas durante a análise arquitetural.","Vários aspectos relevantes distintos para tomada de decisão arquitetural foram explorados pelo FAROL. ","Esse exemplo de utilização do FAROL não provê elementos suficientes para uma boa análise arquitetural.","Considerando o que foi apresentado e a estrutura do FAROL, quais as dificuldades que você identificou no framework?","Quais pontos você considera passível de melhoria para o framework?"
"2024/01/19 12:37:11 PM GMT-3","35","Pública","Mais de 100 funcionários","Administração Pública Direta","ERP;Cliente-Servidor;Mobile;Web","Concordo.","4","4","5","2","Apenas uma consideração: a depender do projeto, acredito que a etapa de Antecipar riscos possa aparecer já no Planejamento e não na verificação, interagindo com as etapas de ""Momento de Decisão Arquitetural (AD)"" e ""Definir as Opções Arquiteturais"". No mais, acredito que o Framework está cobrindo bem o  escopo do que se propõe.","Apenas o ponto respondido na questão anterior sobre uma eventual aparição da etapa de Antecipar Riscos já na fase de Planejamento."
"2024/01/21 5:54:06 AM GMT-3","41","Privada","Mais de 100 funcionários","Multinacional","Mobile;Web;Microsserviços","Concordo.","5","5","5","1","Um pouco extenso, talvez mais adequado a grandes corporações do que startups","Focar em organizações maiores?"
"2024/01/21 10:22:20 AM GMT-3","40","Privada","Mais de 100 funcionários","Sociedade Simples Limitada","Mobile;Web","Concordo.","5","4","4","2","Dependendo do contexto, a equipe de desenvolvimento talvez não tenha o tempo necessário para aplicar todas as etapas definidas no processo.","Prototipagem e PoCs como forma de validação "
"2024/01/21 11:48:40 AM GMT-3","39","Pública","Mais de 100 funcionários","Órgão Público do Poder Executivo","Web","Concordo.","5","4","5","2","Não houve dificuldades.","Definir escalas quantitativas pode ajudar. GQM pode ser útil. Talvez trazer um catálogo como anexo para possíveis ideias de respostas também agregaria. Aplicação de ISOs e legislações reguladoras também podem impactar: LGPD, ética em IA, entre outros. Os tópicos avaliados podem ser vistos por diferentes prismas: estratégico, tático e operacional. Talvez caiba uma adaptação de enquadramento das perguntas de acordo com a equipe que está respondendo. "
"2024/01/21 8:00:21 PM GMT-3","29","Privada","Mais de 100 funcionários","Sociedade Anônima","Web","Concordo.","5","4","4","2","O Farol para mim parece ser bastante robusto e próximo do que considero o estado da arte no quesito de preparação arquitetural para um projeto. Porém também acredito que seguir todos os passos propostos depende de uma empresa/equipe com tempo e disposição para sua aplicabilidade. Os requisitos, tamanho, complexibilidade e tempo para entrega de projetos pesam bastante para pesar se todos as etapas presentes no FAROL cabem serem executadas como descrito. ","Considerar a introdução de uma abordagem mais flexível para as etapas das fases. Introduzir uma estratégia para a resolução de conflitos internos da equipe que possam surgir durante o processo."
"2024/01/22 12:05:34 PM GMT-3","31","Privada","25 a 100 funcionários","Sociedade Simples Limitada","Web","Concordo.","4","5","5","1","tive como maior dificuldade, a percepção do deve ser gerado de output/input entre etapas e fases. além disso, a percepção do tempo x a execução do projeto em si. o que ocorre, pré/durante/pós projeto.","definir/sugerir saídas e entradas entre etapas, em forma de documentos (talvez torne o framework ""opinionado"") e melhorar a descrição da linha do tempo, deixando mais claro em que momento do projeto cada fase/etapa acontece."
"2024/01/22 7:59:23 PM GMT-3","29","Privada","Mais de 100 funcionários","Sociedade Anônima","ERP, Cliente-Servidor, Web","Concordo.","3","2","3","4","A princípio não encontrei dificuldades , o que talvez senti falta , é a aplicabilidade em contextos diferentes, a ideia do Farol é tratar arquitetura de soluções, de software, de infra ou arquitetura no geral?","Eu melhoria os exemplos e documentava muito bem, como cada etapa deve ser feita, só pela exposição da startup fica difícil, outro detalhe é rodar pilotos e tentar extrair os resultados do framework. "
"2024/01/23 4:50:35 PM GMT-3","43","Pública","Mais de 100 funcionários","Universidade","Web","Concordo.","4","4","5","2","Complexidade e tempo de Implementação: O processo detalhado e metódico do FAROL pode ser complexo e demorado para equipes menores ou para projetos com prazos apertados. Flexibilidade limitada: Em alguns casos, o framework pode ser muito rígido, limitando a capacidade de adaptar-se rapidamente a mudanças inesperadas no projeto.
Sobrecarga de documentação: A ênfase na documentação completa pode ser onerosa, especialmente para equipes com recursos limitados.","Adaptabilidade: Introduzir mais flexibilidade no framework para permitir adaptações rápidas em ambientes dinâmicos. Simplificação de processos: Otimizar algumas etapas para tornar o processo menos oneroso, especialmente para pequenas equipes ou projetos com restrições de tempo."
"2024/01/24 10:20:23 AM GMT-3","40","Privada","Mais de 100 funcionários","Sociedade Simples Limitada","Cliente-Servidor;Mobile;Web","Concordo.","4","5","4","2","A fase de verificação apresentada parte do princípio que há vasta experiência em diversas opções que podem ser utilizadas naquele contexto como LLMs e data streaming. Dependendo do contexto da solução, essas opções podem mudar muito e não percebi que o framework poderia ajudar neste sentido.","Um ponto de melhoria seria criar um guia de consulta de opções de arquitetura e tecnologias relacionadas, justamente para superar a dificuldade apresentada na resposta anterior. Por exemplo, digamos que num dado contexto, onde estejam sendo processadas muitas transações por dia, faz-se necessário processamento de todas as transações que chegam sem perda de dados independente dos pontos de falha, ou seja, é necessário o desacoplamento no tempo (pontos A e B que se comunicam podem falhar em momentos distintos, mas as transações entre eles não são perdidas). Nesta situação, um guia de decisão arquitetural poderia informar:

Necessidade: Desacoplamento no tempo
Possíveis soluções: Filas, Banco de dados chave/valor
Possíveis tecnologias em 2024: RabbitMQ, IBM MQ, Kafka e Redis

Inspirado nos infográficos de bytebytego, seu guia poderia ser algo assim: https://blog.bytebytego.com/p/ep91-rest-api-authentication-methods"
"2024/01/25 7:14:32 AM GMT-3","37","Privada","Mais de 100 funcionários","Sociedade Anônima","CRM;ERP;Mobile;Web","Concordo.","4","3","5","1","Nenhuma, é simples e direto","Nenhum inicialmente, acho que só vivendo na prática para saber "
