"age","it_years","job_function","team_size","education_level","arch_dec_experience","project_phase","arch_dec_process","custom_arch_dec","arch_dec_confidence","arch_dec_options","arch_dec_tools","arch_dec_doc","arch_dec_doc_importance","arch_dec_revisit","factor_size","factor_business","factor_organizational","factor_technical","factor_cultural","factor_individual","factor_project","factor_scope","factor_quality_attribute","factor_user_requirement","factor_literature","factor_tools_trend_available","lack_req_clarity","non_req_conflict","insufficient_deadline","stakeholder_conflict","contractual_obligation","business_domain_lack","principle_facts","principle_solution","principle_pros_cons","principle_solution_limitation","principle_arch_solution","principle_timeframe","principle_priority","principle_risks"
"1","More than 50 years","More than 15","Project Manager","1 - 10","MBA","10 to 20 years","No specific point","Group decision","","3",4,"No","Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);E-mails",4,2,"Moderately Important","Important","Important","Important","Moderately Important","Moderately Important","Important","Important","Important","Important","Important","Important","Very high","Very high","Very high","Above average","Above average","Very high","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important"
"2","More than 50 years","More than 15","Other","11 - 25","MBA","More than 20 years","At the beginning of project","Group decision","Em equipe, Diretor e fiscais reunidos com Analistas de sistema","4",4,"No","Documento de Texto (Word, Text, Google Docs);E-mails;Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)",5,4,"Important","Important","Important","Very Important","Important","Moderately Important","Moderately Important","Important","Important","Important","Moderately Important","Important","Above average","Average","Below Average","Below Average","Below Average","Above average","Important","Important","Important","Moderately Important","Important","Important","Very Important","Important"
"3","31 to 40 years","6 to 10 years","Senior Developer","1 - 10","MBA","3 to 4 years","No specific point","Group decision","","3",2,"No","Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);E-mails;Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.);xmind",5,5,"Slightly Important","Very Important","Important","Very Important","Important","Moderately Important","Important","Very Important","Important","Very Important","Important","Very Important","Very high","Above average","Very high","Very high","Very high","Very high","Very Important","Important","Important","Very Important","Very Important","Important","Important","Very Important"
"4","More than 50 years","More than 15","Project Manager","1 - 10","PHD","10 to 20 years","At the beginning of project","Group decision","","4",4,"No","Wiki;Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);E-mails",5,3,"Moderately Important","Very Important","Very Important","Very Important","Very Important","Important","Important","Very Important","Important","Important","Important","Moderately Important","Very high","Very high","Above average","Above average","Very high","Very high","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important"
"5","20 to 30 years","6 to 10 years","Team Lead","11 - 25","Graduated","1 to 2 years","At the beginning of project","Group decision","","5",5,"No","Código-fonte (Gitlab, Github, DCVS, CVS, etc.);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)",5,5,"Very Important","Very Important","Very Important","Very Important","Slightly Important","Slightly Important","Slightly Important","Moderately Important","Moderately Important","Important","Moderately Important","Very Important","Very high","Very high","Above average","Very high","Very high","Very high","Very Important","Very Important","Very Important","Very Important","Moderately Important","Important","Important","Important"
"6","41 to 50 years","More than 15","Team Lead","1 - 10","MBA","10 to 20 years","At each sprint/iteration","Group decision","","4",4,"No","Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);E-mails",5,2,"Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Very high","Very high","Very high","Very high","Very high","Very high","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important"
"7","31 to 40 years","6 to 10 years","Senior Developer","1 - 10","Graduated","3 to 4 years","No specific point","Group decision","São levantados os problemas, as possíveis soluções e, após discussão sobre prós e contras, as decisões são tomadas.","3",5,"No","Código-fonte (Gitlab, Github, DCVS, CVS, etc.)",5,2,"Not Important","Moderately Important","Moderately Important","Important","Important","Important","Very Important","Very Important","Very Important","Moderately Important","Important","Very Important","Very high","Average","Very high","Average","Average","Very high","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important"
"8","31 to 40 years","1 to 5 years","Other","1 - 10","Master's Degree","1 to 2 years","At each sprint/iteration","Group decision","","2",3,"No","Código-fonte (Gitlab, Github, DCVS, CVS, etc.);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)",5,3,"Important","Important","Moderately Important","Moderately Important","Slightly Important","Slightly Important","Important","Important","Important","Important","Moderately Important","Important","Above average","Average","Very high","Average","Above average","Very high","Very Important","Very Important","Important","Important","Very Important","Very Important","Very Important","Very Important"
"9","31 to 40 years","11 to 15 years","Other","1 - 10","MBA","5 to 10 years","At the beginning of project","Group decision","Normalmente, durante a fase inicial de elicitação de requisitos, já é possível extrair uma base de como proceder na esfera arquitetural. Conforme a etapa de elicitação avança e os requisitos se tornam mais claros, a equipe técnica consegue definir a arquitetura. Já vivi situações em que essa definição foi definida apenas por mim e outras em que a equipe definiu consensualmente, sendo essa última maneira a que enxergo como mais comum.","4",4,"Yes","Wiki;Documento de Texto (Word, Text, Google Docs);Diagramas UML",3,2,"Slightly Important","Very Important","Important","Important","Moderately Important","Slightly Important","Important","Moderately Important","Important","Very Important","Moderately Important","Important","Very high","Average","Very high","Above average","Above average","Average","Very Important","Very Important","Important","Very Important","Moderately Important","Very Important","Important","Important"
"10","31 to 40 years","11 to 15 years","Team Lead","1 - 10","PHD","5 to 10 years","At each sprint/iteration","Group decision","Existe um desenho inicial de arquitetura que é revisitado a cada sprint review ou release. Comentários e compartilhamento de conhecimento sobre a arquitetura são feitos diariamente em qq oportunidade ou no daily meeting","4",3,"No","Wiki;Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)",5,5,"Important","Very Important","Important","Very Important","Important","Moderately Important","Very Important","Important","Very Important","Very Important","Moderately Important","Very Important","Very high","Very high","Above average","Above average","Very high","Very high","Very Important","Important","Moderately Important","Important","Moderately Important","Very Important","Very Important","Important"
"11","41 to 50 years","More than 15","Diretor","100+","PHD","10 to 20 years","At the beginning of project","Group decision","","4",5,"Yes","Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.)",5,4,"Moderately Important","Very Important","Important","Very Important","Moderately Important","Moderately Important","Important","Important","Important","Very Important","Moderately Important","Important","Above average","Above average","Very high","Very high","Above average","Very high","Important","Important","Important","Important","Very Important","Important","Moderately Important","Moderately Important"
